model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Transformer,6,1,False,False,False,0.00209127,0.00821274,0.03236232,0.07146617,0.04573038,0.09062414,0.01236921,0.0295617,0.99175803,0.96756802,0.00027614,0.09078533,original
Transformer,6,12,False,False,False,0.00883138,0.01330631,0.07136741,0.0866018,0.09397542,0.11535299,0.02918418,0.03528769,0.96475417,0.94691665,0.00146714,0.18756296,original
Transformer,6,24,False,False,False,0.01137177,0.10846459,0.07920066,0.29058859,0.1066385,0.32933962,0.0330294,0.12815917,0.95392728,0.56254196,0.00201652,0.21405351,original
Transformer,6,96,False,False,False,0.03495125,0.54684619,0.14177191,0.68088987,0.18695253,0.7394905,0.05957237,0.30772866,0.84387197,-1.37825517,0.00644505,0.38902578,original
Transformer,6,192,False,False,False,0.06491746,0.73836884,0.20191738,0.79063663,0.25478905,0.85928391,0.08672272,0.35940881,0.67627169,-2.49856825,0.012703,0.55305016,original
Transformer,6,336,False,False,False,0.18884191,0.60877303,0.36086097,0.71765504,0.43455943,0.78023909,0.15900356,0.32574397,-0.10468555,-2.18853436,0.03891529,0.99256611,original
Transformer,6,720,False,False,False,0.42920962,0.79803805,0.56443852,0.83524094,0.65514094,0.89332975,0.25235778,0.37910322,-2.96793433,-4.17764338,0.09224711,1.66285682,original
Transformer,12,1,False,False,False,0.00268426,0.13051149,0.03840061,0.3099002,0.05180987,0.36126374,0.01480852,0.13297003,0.98929584,0.478729,0.00036327,0.10346089,original
Transformer,12,12,False,False,False,0.00611132,0.02475459,0.05561228,0.12993193,0.07817495,0.15733591,0.02296362,0.05685505,0.97531229,0.90014475,0.001039,0.15691614,original
Transformer,12,24,False,False,False,0.01207986,0.52218193,0.08306322,0.66219442,0.10990841,0.72262156,0.03454133,0.29831083,0.95053191,-1.13014352,0.00211911,0.22190206,original
Transformer,12,96,False,False,False,0.03837706,0.70754391,0.14938009,0.77316769,0.19590063,0.84115629,0.06332802,0.35087037,0.82623747,-2.11824596,0.00722599,0.41045833,original
Transformer,12,192,False,False,False,0.10223003,0.84005547,0.26018733,0.84182564,0.31973431,0.9165454,0.11389805,0.38323533,0.48828022,-3.02597828,0.02106748,0.69817686,original
Transformer,12,336,False,False,False,0.13563387,0.59496045,0.29958913,0.70571524,0.36828503,0.77133679,0.13045819,0.31845915,0.20503578,-2.15056404,0.02678367,0.84606498,original
Transformer,12,720,False,False,False,0.36166376,1.05419558,0.5132556,0.96276798,0.60138488,1.02674027,0.2284725,0.43843761,-2.34184081,-5.90882885,0.07636014,1.53490651,original
Transformer,24,1,False,False,False,0.00201018,0.18696228,0.0313358,0.3787292,0.04483508,0.43239135,0.01201121,0.16568193,0.99179703,0.23621198,0.00026928,0.09057025,original
Transformer,24,12,False,False,False,0.00566288,0.03149734,0.05298471,0.14663358,0.07525211,0.17747491,0.02172371,0.06635226,0.97657995,0.86997769,0.00094821,0.15283544,original
Transformer,24,24,False,False,False,0.01115617,0.53074296,0.07839446,0.66763104,0.10562279,0.72852108,0.03285825,0.30153866,0.95317089,-1.2169827,0.0019927,0.21582985,original
Transformer,24,96,False,False,False,0.04285376,0.6555349,0.15736921,0.74373896,0.20701151,0.8096511,0.06747534,0.33782471,0.80016495,-1.96652888,0.00839658,0.43972313,original
Transformer,24,192,False,False,False,0.10655915,0.79426294,0.26053703,0.81863647,0.32643399,0.89121431,0.11324029,0.37292537,0.44616734,-2.89382124,0.02162163,0.7212953,original
