model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Informer,96,192,False,True,True,35.95810318,41.23444692,4.39682817,5.05820508,5.99650764,6.42140537,0.44886085,0.57418435,-1.05353554,-1.28676523,0.27337235,1.4356904,reduced
Informer,96,336,False,True,True,35.03184509,43.01177381,4.45192528,5.28233183,5.91877079,6.55833621,0.49444145,0.62151412,-1.40070113,-1.681904,0.31525233,1.56234956,reduced
Informer,96,720,False,True,True,30.44610596,44.92295854,4.23968363,5.68839683,5.5177989,6.70245914,0.48861521,0.72333162,-1.70971449,-2.54025604,0.30171409,1.62129962,reduced
Informer,120,1,False,True,True,18.13059425,20.63696798,2.76993299,3.13882134,4.25800371,4.54279297,0.23649773,0.29520084,0.09146691,-0.03412878,0.1026172,0.95317012,reduced
Informer,120,12,False,True,True,18.05065918,27.66947736,2.77908516,3.71019988,4.24860668,5.26017845,0.24907394,0.35480014,0.03650421,-0.39147149,0.10926618,0.98159021,reduced
Informer,120,24,False,True,True,23.42124939,28.85943391,3.27914524,3.88838934,4.8395505,5.37209772,0.30352703,0.39110718,-0.24621027,-0.45702472,0.1501312,1.11646199,reduced
Informer,120,96,False,True,True,36.41695404,47.46790162,4.36658716,5.50411395,6.03464603,6.88969532,0.42741099,0.62906335,-0.89695776,-1.47317004,0.25530651,1.37793767,reduced
Informer,120,192,False,True,True,39.37628555,43.77434734,4.66783524,5.27314519,6.27505255,6.61621851,0.47673282,0.60337177,-1.18978953,-1.44109625,0.29990327,1.48275685,reduced
Informer,120,336,False,True,True,37.1209259,43.19979929,4.63142252,5.30455039,6.09269428,6.57265542,0.5050987,0.6207642,-1.48154868,-1.70997302,0.32465062,1.58247232,reduced
Informer,144,1,False,True,True,18.85008812,20.2534404,2.89725041,3.13248545,4.34166861,4.50038225,0.26106608,0.29627039,0.00250621,-0.02016195,0.11530789,0.9987461,reduced
Informer,144,12,False,True,True,19.0293541,28.36974531,2.89832592,3.75257345,4.36226463,5.32632569,0.25975022,0.35551191,-0.00308576,-0.43413732,0.11522475,1.00157225,reduced
Informer,144,24,False,True,True,24.49289894,31.18888104,3.3885107,4.13152926,4.94902992,5.58470062,0.3120836,0.42297983,-0.28579406,-0.58273785,0.15571281,1.13406563,reduced
Informer,144,96,False,True,True,32.32507706,36.9779553,4.1163249,4.66928282,5.68551445,6.0809502,0.41609496,0.50359884,-0.83055282,-0.93672523,0.24177133,1.356076,reduced
Informer,144,192,False,True,True,34.6569252,41.05782635,4.41385031,5.04771195,5.88701344,6.40763813,0.46473482,0.56441163,-1.16245467,-1.30290237,0.28309539,1.47147,reduced
Informer,144,336,False,True,True,39.50114822,43.81880434,4.85481262,5.36067098,6.28499413,6.61957735,0.53306067,0.62405845,-1.55544322,-1.76566885,0.34722057,1.60755622,reduced
Informer,144,720,False,True,True,34.19626236,44.77265539,4.58151531,5.68117229,5.84775686,6.69123721,0.52162075,0.71047259,-1.90819134,-2.57061841,0.33064663,1.67710841,reduced
Informer,168,1,False,True,True,16.89308167,20.809161,2.66780949,3.17234164,4.11011934,4.56170593,0.22975501,0.29729463,0.11969218,-0.05330587,0.09702958,0.93824726,reduced
Informer,168,12,False,True,True,19.31804848,27.74077115,2.91996002,3.71228161,4.39523029,5.26695084,0.2576409,0.34918811,-0.00301388,-0.40897036,0.11414836,1.00152993,reduced
Informer,168,24,False,True,True,25.04936409,29.81359668,3.44040513,3.98055424,5.00493383,5.46018284,0.31344959,0.39788248,-0.29559617,-0.52019175,0.15628584,1.13837552,reduced
Informer,168,96,False,True,True,35.17040253,38.57460464,4.32460117,4.82364841,5.93046379,6.21084573,0.4311685,0.52406123,-0.93717844,-1.03124567,0.257128,1.39380586,reduced
Informer,168,192,False,True,True,37.00006104,42.32697456,4.58581495,5.17655835,6.08276749,6.50591843,0.48050937,0.5817086,-1.22599352,-1.38844205,0.29730153,1.4959718,reduced
Informer,168,336,False,True,True,40.13553619,44.16592922,4.86561441,5.39766565,6.33526134,6.6457452,0.51982051,0.62566264,-1.52692671,-1.80493228,0.33794039,1.59765232,reduced
Informer,192,1,False,True,True,19.00557327,20.65980548,2.88614225,3.17987618,4.35953808,4.54530587,0.24930687,0.29865884,0.02283181,-0.0511954,0.10943434,0.98851812,reduced
Informer,192,12,False,True,True,19.88165474,28.39394811,2.98471642,3.79354327,4.45888472,5.3285972,0.26133299,0.36014958,-0.02109419,-0.45003185,0.11643194,1.01049221,reduced
Informer,192,24,False,True,True,25.99662971,29.8439423,3.55008578,4.0175957,5.09868908,5.46296095,0.32354149,0.40424312,-0.33344654,-0.53022171,0.16232805,1.15478647,reduced
Informer,192,96,False,True,True,36.07106018,48.73881335,4.4029026,5.64106048,6.00591898,6.98131888,0.43387812,0.6404665,-0.94706426,-1.5809641,0.25724897,1.39625812,reduced
Informer,192,192,False,True,True,39.52285767,41.52532906,4.73828316,5.11968682,6.28672075,6.44401498,0.4893367,0.56960615,-1.30482084,-1.35792258,0.31023344,1.52336264,reduced
Informer,192,336,False,True,True,34.51564789,44.51755194,4.56878805,5.43548781,5.87500191,6.67214748,0.50847638,0.62737224,-1.46351151,-1.84528342,0.3128472,1.57145381,reduced
